show_id,rottentomatoes_audience_score,rottentomatoes_audience_#reviews,rottentomatoes_tomatometer_score,rottentomatoes_critics_#reviews
s607,67,175,82,11
s608,38,10,,0
s609,49,75,54,13
s612,93,175,100,55
s613,,0,,0
s614,60,17500,4,23
s615,23,17500,12,26
s618,88,75,100,9
s623,,10,,0
s626,44,250000,53,187
s627,77,250000,71,63
s628,71,250000,52,90
s630,30,7500,31,35
s632,74,75,84,19
s634,,10,,0
s635,68,175,84,19
s636,91,75000,85,476
s637,96,10,83,6
s638,28,750,81,21
s639,54,175000,24,63
s643,91,10,100,5
s644,,10,,0
s646,,10,,0
s648,47,175,22,9
s649,,10,100,7
s650,50,10,100,6
s651,73,75,84,31
s653,55,75,,0
s655,41,75,0,9
s656,,10,,0
s664,61,75,30,10
s667,77,250000,69,200
s675,,10,,0
s676,33,10,50,6
s679,68,32000,86,35
s682,53,7500,92,51
s683,16,75,40,5
s684,0,10,,0
s685,25,7500,50,8
s689,78,250000,23,184
s690,71,750,92,13
s692,94,7500,100,21
s693,38,750,,0
s696,43,175,100,8
s697,77,10,70,10
s701,74,175,60,15
s702,45,75,50,8
s709,70,75000,54,24
s711,63,7500,,0
s712,77,10,,0
s713,62,10,,0
s715,69,750,100,8
s716,73,7500,87,71
s717,61,1750,78,27
s720,18,175,33,9
s730,52,175,,0
s733,50,10,86,7
s735,27,10,,0
s738,76,750,,0
s740,54,75,,0
s742,20,10,,0
s743,38,10,,0
s744,74,750,,0
s745,74,1750,,0
s746,,10,,0
s748,41,10,,0
s750,56,75,,0
s752,77,175,73,11
s753,36,7500,26,35
s754,86,7500,86,14
s755,8,10,,0
s758,74,175000,42,52
s759,63,175000,54,67
s764,90,175,100,35
s765,46,"['5,000+ Ratings']",39,41
s766,56,10,,0
s768,59,10,,0
s771,92,750,,0
s776,94,175,100,6
s777,47,175,,0
s786,92,"['5,000+ Ratings']",92,142
s790,58,175,89,9
s791,75,175,100,6
s793,,10,,0
s795,69,250000,72,53
s796,74,17500,30,10
s802,74,175000,58,140
s803,55,175000,27,112
s804,53,250000,50,175
s805,69,175,92,12
s807,57,"['5,000+ Ratings']",64,123
s808,47,17500,64,33
s813,,10,,0
s814,67,175,89,9
s817,,10,0,6
s818,69,10,100,7
s819,87,17500,95,78
s822,,10,,0
s823,,10,,0
s824,56,75,53,15
s828,46,1750,22,27
s832,15,75,,0
s833,75,75,100,14
s834,9,75,20,5
s835,55,32000,86,7
s836,52,1750,33,43
s838,74,75,50,8
s840,37,75,,0
s841,52,7500,75,88
s842,,10,,0
s843,29,75,11,18
s847,,10,,0
s848,93,75,,0
s855,76,750,95,20
s858,95,175,74,31
s861,79,750,100,16
s862,75,10,,0
s865,43,750,74,58
s866,67,10,,0
s867,60,750,,0
s874,83,750,,0
s876,38,750,67,21
s879,67,7500,67,21
s883,64,7500,,0
s886,84,75,,0
s887,,10,,0
s888,,10,,0
s889,81,175,42,12
s891,89,175,,0
s892,72,7500,20,5
s893,48,750,71,7
s894,,10,,0
s902,74,250000,39,94
s904,44,250000,44,93
s905,60,75,22,9
s906,64,32000,75,105
s908,53,1750,36,22
s909,,10,,0
s910,58,75,,0
s912,23,175,,0
s914,72,175,96,23
s915,94,75,100,5
s917,96,1750,86,7
s918,85,10,,0
s919,97,10,,0
s926,70,750,100,26
s928,89,250000,85,118
s929,62,10,,0
s935,57,"['5,000+ Ratings']",64,162
s937,75,10,80,5
s938,60,175,11,18
s939,36,75,,0
s940,33,10,,0
s943,8,75,,0
s944,,10,,0
s945,90,"['5,000+ Ratings']",67,6
s946,77,750,78,55
s951,49,750,100,6
s952,88,250000,76,173
s960,50,10,,0
s961,49,750,,0
s962,59,17500,80,139
s963,17,10,,0
s964,69,250000,66,163
s968,90,32000,98,131
s969,96,750,87,15
s970,28,750,20,5
s971,40,750,58,12
s972,48,1750,73,11
s977,69,"['5,000+ Ratings']",69,144
s978,,10,,0
s980,47,175,55,11
s982,44,175,73,11
s983,,10,,0
s987,62,"['5,000+ Ratings']",89,97
s988,,0,,0
s994,87,250000,55,141
s997,85,17500,89,196
s998,77,32000,91,230
s999,77,1750,91,32
s1000,46,750,,0
s1002,79,17500,96,143
s1003,64,175000,36,69
s1004,77,75000,87,210
s1006,20,10,,0
s1008,,10,,0
s1009,88,175,100,6
s1014,50,10,,0
s1015,67,10,61,23
s1016,25,10,,0
s1018,23,175,,0
s1020,90,10,100,6
s1021,83,750,87,31
s1023,55,10,,0
s1025,,10,,0
s1030,50,175,,0
s1031,74,250000,89,189
s1032,19,10,,0
s1033,,10,,0
s1034,63,175,78,9
s1035,0,10,,0
s1036,85,1750,96,93
s1037,,10,,0
s1038,72,750,75,8
s1039,82,17500,80,10
s1042,88,75000,88,64
s1056,,10,,0
s1057,67,10,,0
s1058,,10,,0
s1060,,10,,0
s1064,72,750,,0
s1066,,10,,0
s1067,76,1750,93,58
s1068,,10,,0
s1070,58,750,,0
s1072,,10,60,5
s1073,45,175,75,8
s1075,67,750,13,16
s1077,59,10,40,5
s1078,46,32000,10,80
s1081,37,175,50,20
s1082,74,1750,77,31
s1085,21,750,,0
s1087,33,1750,17,6
s1091,,10,,0
s1094,,10,,0
s1097,,10,,0
s1098,86,175000,80,142
s1099,65,175,,0
s1103,83,17500,27,111
s1105,,10,,0
s1112,46,175000,44,153
s1114,,10,,0
s1115,33,175,,0
s1118,,10,,0
s1123,77,250000,41,178
s1124,43,75,,0
s1130,83,10,90,10
s1131,,10,,0
s1132,7,175,,0
s1133,71,10,83,18
s1134,88,10,100,9
s1135,31,175,61,18
s1136,17,10,,0
s1137,77,75,50,14
s1138,69,17500,55,91
s1142,64,75000,36,176
s1143,62,10,71,7
s1144,81,10,,0
s1146,,10,,0
s1147,39,10,91,47
s1150,,10,,0
s1152,56,1750,70,50
s1153,57,7500,47,19
s1154,66,750,83,18
s1155,89,75,,0
s1162,,10,,0
s1165,25,75,,0
s1168,20,10,,0
s1170,90,750,100,11
s1172,67,75000,74,126
s1173,74,750,95,20
s1184,53,1750,93,99
s1188,44,10,,0
s1195,63,75000,40,62
s1196,83,10,,0
s1198,65,175,71,7
s1201,62,175000,76,70
s1204,,10,,0
s1206,,10,,0
s1212,68,750,94,18
s1218,19,1750,,0
s1219,,10,,0
s1225,74,32000,94,309
s1227,44,75000,50,186
s1228,73,1750,62,26
s1230,35,75000,42,113
s1233,39,75000,21,76
s1235,89,250000,95,259
s1236,62,175,,0
s1238,49,750,81,54
s1243,89,250000,96,202
s1244,59,175,100,7
s1249,75,10,80,5
s1251,28,75000,12,111
s1252,,10,,0
s1255,,10,,0
s1257,82,175000,42,81
s1258,45,750,,0
s1267,,10,,0
s1268,41,750,,0
s1270,58,750,,0
s1272,42,750,,0
s1273,,10,,0
s1274,50,75,11,9
s1276,68,1750,81,142
s1277,56,32000,32,228
s1280,51,250000,83,230
s1281,45,250000,68,146
s1282,40,250000,42,186
s1284,62,250000,78,148
s1286,33,175,24,17
s1289,83,175000,87,85
s1291,89,750,100,31
s1293,,10,,0
s1296,,10,67,9
s1310,0,10,,0
s1311,,10,100,8
s1312,53,1750,50,16
s1313,28,175000,19,89
s1326,47,250000,37,164
s1332,63,250000,71,49
s1334,67,10,,0
s1338,77,750,,0
s1340,46,10,13,16
s1343,80,10,,0
s1344,57,10,,0
s1345,71,250000,67,27
s1349,45,10,54,13
s1350,79,10,17,6
s1352,74,750,,0
s1353,,10,,0
s1354,66,75,,0
s1355,,10,,0
s1356,,10,,0
s1357,37,750,100,23
s1358,,10,,0
s1361,50,10,,0
s1362,64,75000,69,29
s1364,20,10,,0
s1365,21,10,,0
s1366,72,10,,0
s1367,34,10,,0
s1368,34,175,43,7
s1370,10,75,,0
s1371,18,10,,0
s1373,38,75000,5,134
s1374,83,"['5,000+ Ratings']",72,274
s1375,38,10,40,10
s1384,70,7500,,0
s1385,,10,,0
s1386,92,750,,0
s1389,55,10,,0
s1396,81,175,98,57
s1398,75,10,60,5
s1399,69,10,81,16
s1401,97,250000,91,162
s1403,75,"['5,000+ Ratings']",53,17
s1404,37,175,59,41
s1408,,10,,0
s1409,70,75000,68,44
s1410,31,175,,0
s1411,44,10,18,11
s1412,67,175,86,14
s1415,45,7500,79,14
s1417,66,250000,34,174
s1419,23,175,,0
s1420,87,75,80,10
s1425,66,175000,66,283
s1426,65,17500,90,175
s1428,66,175000,71,123
s1429,68,250000,77,212
s1439,85,250000,64,150
s1447,62,750,80,20
s1450,38,32000,4,84
s1453,,10,17,6
s1454,40,175,,0
s1457,,10,,0
s1458,17,10,,0
s1459,,10,,0
s1460,,10,,0
s1465,61,7500,26,47
s1469,32,750,62,13
s1470,60,175,68,34
s1475,75,750,95,40
s1479,86,1750,100,10
s1482,58,1750,75,59
s1485,73,750,50,14
s1493,27,75,,0
s1494,63,750,25,8
s1498,95,75000,100,53
s1499,46,10,,0
s1500,53,"['5,000+ Ratings']",81,89
s1502,60,10,,0
s1503,73,250000,90,269
s1508,36,75,,0
s1514,89,750,,0
s1517,82,10,,0
s1518,,10,,0
s1522,75,175,,0
s1525,62,7500,37,19
s1528,,10,100,7
s1531,,10,,0
s1532,71,1750,100,23
s1543,93,175,100,95
s1544,,10,,0
s1546,67,10,,0
s1547,86,250000,97,158
s1548,39,17500,20,35
s1549,93,750,100,7
s1552,46,1750,79,24
s1557,62,10,44,9
s1558,29,1750,37,38
s1559,75,7500,95,75
s1560,15,1750,87,77
s1565,,10,,0
s1570,53,1750,92,291
s1576,61,7500,60,10
s1577,31,10,,0
s1579,48,250000,27,132
s1580,77,75,89,9
s1586,,10,,0
s1589,81,750,100,15
s1590,,10,,0
s1594,94,10,,0
s1596,94,1750,88,17
s1604,51,175,74,31
s1605,38,175000,26,31
s1606,,10,,0
s1610,62,75,18,11
s1613,30,750,0,37
s1615,48,175,40,5
s1616,20,10,,0
s1618,,10,,0
s1621,55,"['5,000+ Ratings']",,0
s1622,38,750,,0
s1629,64,1750,98,44
s1634,97,175,95,19
s1636,46,7500,58,77
s1637,57,10,71,7
s1638,53,10,88,8
s1643,9,750,13,8
s1646,57,75,71,28
s1650,86,1750,94,109
s1652,76,10,17,6
s1655,8,75,50,6
s1658,20,10,,0
s1661,66,1750,64,50
s1662,,10,29,7
s1663,40,10,,0
s1664,87,75,89,9
s1666,,10,,0
s1668,72,750,69,13
s1669,79,75000,62,132
s1672,40,175,40,5
s1674,29,175,32,41
s1676,61,750,40,20
s1677,,10,,0
s1679,75,750,80,5
s1680,38,"['5,000+ Ratings']",48,21
s1685,44,10,,0
s1691,82,7500,89,18
s1693,53,10,,0
s1697,,10,,0
s1698,87,10,,0
s1699,68,175,100,23
s1701,12,750,,0
s1702,62,7500,42,136
s1703,83,1750,,0
s1705,88,10,,0
s1706,76,10,,0
s1709,77,10,,0
s1710,75,10,,0
s1714,25,10,,0
s1715,,10,,0
s1716,19,75,58,12
s1717,33,175,,0
s1718,20,10,,0
s1723,78,"['5,000+ Ratings']",98,40
s1726,8,10,,0
s1727,,10,,0
s1728,,10,,0
s1731,,10,,0
s1733,67,7500,,0
s1734,53,7500,,0
s1735,77,75,75,12
s1736,50,10,29,7
s1741,26,750,,0
s1749,95,75,,0
s1750,83,7500,87,23
s1751,80,175,100,86
s1752,41,250000,57,221
s1753,20,10,,0
s1757,69,1750,,0
s1758,95,17500,,0
s1759,72,750,63,16
s1760,69,"['5,000+ Ratings']",,0
s1761,80,"['5,000+ Ratings']",,0
s1763,57,10,,0
s1765,38,10,,0
s1767,42,175000,42,191
s1776,40,10,,0
s1777,41,32000,59,61
s1779,42,10,,0
s1783,50,750,,0
s1784,82,250000,90,314
s1786,74,750,84,19
s1787,44,10,,0
s1788,91,250000,87,289
s1789,,10,86,7
s1791,77,175,,0
s1794,88,32000,84,49
s1796,64,1750,20,5
s1799,91,175,97,230
s1801,,10,,0
s1804,52,175,64,33
s1805,,10,,0
s1806,72,32000,66,88
s1807,56,175000,18,157
s1809,72,7500,71,14
s1810,40,10,,0
s1811,23,1750,29,38
s1812,57,750,71,7
s1818,31,75,,0
s1819,21,750,23,26
s1821,69,17500,98,136
s1822,65,175,50,6
s1824,89,175000,88,57
s1825,34,250000,19,138
s1826,15,750,43,7
s1828,,10,,0
s1832,67,750,,0
s1833,62,10,,0
s1834,33,75,,0
s1837,78,175000,79,219
s1838,57,75,80,15
s1839,83,10,,0
s1844,63,175000,54,157
s1847,77,75,,0
s1848,64,"['5,000+ Ratings']",,0
s1850,60,250000,50,30
s1852,35,32000,40,5
s1853,49,750,,0
s1854,51,10,,0
s1863,64,175,100,7
s1864,42,175,86,7
s1866,78,175,,0
s1875,,10,,0
s1877,36,1750,,0
s1878,91,750,80,15
s1879,69,"['5,000+ Ratings']",,0
s1885,16,750,0,5
s1886,20,10,57,7
s1888,42,175,57,37
s1889,39,175,,0
s1890,37,175,,0
s1892,74,175,93,15
s1893,38,750,,0
s1894,23,250000,10,119
s1895,73,1750,85,62
s1896,60,10,,0
s1899,66,750,,0
s1900,60,10,,0
s1904,15,10,,0
s1905,47,32000,50,127
s1909,54,175,50,40
s1910,83,750,95,20
s1913,77,175000,85,191
s1915,42,175000,36,204
s1917,92,750,90,80
s1919,80,10,83,6
s1920,85,32000,81,21
s1923,73,7500,78,23
s1928,,10,,0
s1931,39,1750,42,83
s1933,100,75,,0
s1937,84,750,,0
s1939,41,750,,0
s1940,65,75,77,13
s1941,39,1750,67,9
s1945,38,175,40,5
s1946,81,7500,91,127
s1953,50,10,,0
s1961,72,10,100,5
s1965,,10,,0
s1966,,10,,0
s1981,39,175,52,21
s1986,30,75,29,21
s1987,39,750,81,27
s1988,40,1750,88,34
s1994,78,175,67,9
s1998,53,250000,20,92
s2000,,10,,0
s2002,17,175,,0
s2003,86,75000,85,180
s2007,34,750,,0
s2009,55,10,,0
s2010,55,7500,91,192
s2012,,10,,0
s2013,,10,0,6
s2014,92,175000,94,54
s2015,34,750,50,8
s2017,,10,,0
s2019,81,250000,41,91
s2022,41,75,,0
s2024,71,175,78,9
s2025,38,10,,0
s2029,96,1750,,0
s2030,,10,,0
s2037,78,7500,63,173
s2038,52,250000,23,195
s2041,78,"['5,000+ Ratings']",64,117
s2042,85,"['5,000+ Ratings']",87,61
s2043,60,10,,0
s2044,61,75000,28,76
s2046,57,75,100,10
s2047,60,750,78,177
s2048,62,10,,0
s2054,,10,,0
s2056,86,75000,92,280
s2060,53,32000,65,40
s2061,67,10,,0
s2065,45,75000,33,66
s2067,49,75,,0
s2070,,10,,0
s2072,27,75,,0
s2076,57,1750,54,182
s2077,74,175,,0
s2085,26,175,,0
s2086,60,10,,0
s2089,67,10,,0
s2094,,10,,0
s2096,17,10,,0
s2098,98,175,,0
s2100,33,175,65,20
s2105,8,75,,0
s2109,,10,,0
s2110,39,750,,0
s2112,88,10,,0
s2115,,10,,0
s2124,,10,,0
s2132,50,750,0,11
s2133,74,10,91,34
s2134,64,750,33,6
s2136,89,250000,49,69
s2139,86,175000,73,110
s2142,57,175,47,15
s2146,,10,,0
s2147,59,75,80,5
s2148,,10,,0
s2150,56,1750,,0
s2151,92,250000,81,67
s2152,60,"['5,000+ Ratings']",,0
s2153,92,75000,83,41
s2154,,10,,0
s2155,,10,,0
s2160,,10,,0
s2162,85,175,95,83
s2164,68,250000,35,96
s2165,58,250000,48,111
s2166,57,250000,43,116
s2168,60,75,,0
s2173,86,10,83,6
s2174,88,750,90,29
s2176,,10,,0
s2182,,10,,0
s2186,81,175,85,20
s2188,80,1750,87,71
s2189,54,1750,36,14
s2190,72,175,68,56
s2191,80,10,,0
s2192,,10,,0
s2195,49,750,15,13
s2199,29,175,27,30
s2201,60,7500,,0
s2203,55,"['5,000+ Ratings']",61,108
s2209,100,10,60,5
s2214,,10,,0
s2223,96,75,,0
s2224,77,32000,20,49
s2225,90,75,41,17
s2226,,10,,0
s2229,59,7500,,0
s2230,82,1750,100,31
s2233,55,10,,0
s2234,85,17500,96,46
s2235,42,75,55,11
s2237,,10,,0
s2244,33,10,,0
s2245,36,175000,32,174
s2246,79,7500,59,37
s2249,47,250000,25,145
s2251,86,750,,0
s2252,74,175000,96,69
s2253,73,250000,71,174
s2254,49,750,59,29
s2255,71,10,,0
s2256,77,17500,92,182
s2261,89,75,,0
s2263,64,10,88,17
s2265,22,10,,0
s2266,68,175,53,43
s2267,88,17500,95,55
s2269,30,75,67,6
s2270,45,250000,21,143
s2271,52,"['5,000+ Ratings']",69,235
s2275,64,17500,47,187
s2276,50,250000,68,31
s2281,64,10,,0
s2287,50,75,,0
s2288,28,"['5,000+ Ratings']",17,76
s2291,65,750,,0
s2292,,10,,0
s2295,71,175,,0
s2296,54,175000,38,162
s2297,67,10,,0
s2298,,10,,0
s2303,74,75000,88,137
s2304,87,32000,94,212
s2306,56,750,40,5
s2309,56,175,,0
s2310,49,175,,0
s2315,35,750,32,28
s2316,73,10,93,28
s2317,36,10,,0
s2319,83,175,95,21
s2320,,10,,0
s2325,78,7500,,0
s2329,,10,,0
s2330,73,75,84,19
s2333,,10,,0
s2336,80,"['5,000+ Ratings']",73,40
s2337,66,10,,0
s2340,,10,,0
s2342,,10,,0
s2346,46,1750,18,17
s2352,81,250000,74,212
s2356,34,1750,,0
s2358,36,750,,0
s2366,39,175,50,10
s2368,71,750,,0
s2369,,10,,0
s2370,,0,,0
s2371,48,75,,0
s2372,44,10,,0
s2373,71,750,,0
s2378,38,10,,0
s2379,20,32000,17,6
s2380,70,7500,91,77
s2384,32,10,50,6
s2385,82,750,88,33
s2387,53,1750,79,29
s2389,67,250000,51,223
s2391,42,7500,,0
s2392,75,10,,0
s2393,28,750,,0
s2394,,0,,0
s2397,100,10,,0
s2399,12,1750,,0
s2400,48,250000,26,141
s2405,52,10,100,6
s2406,42,175,39,41
s2409,86,750,,0
s2411,74,17500,81,37
s2414,91,"['5,000+ Ratings']",93,29
s2417,,10,,0
s2419,,10,,0
s2421,72,750,85,60
s2423,22,750,84,37
s2424,63,750,,0
s2427,37,175,43,7
s2434,26,75,42,12
s2435,88,10,100,15
s2443,76,175,,0
s2445,33,10,,0
s2446,62,75,80,10
s2451,78,750,17,12
s2453,86,175,85,26
s2454,53,750,80,10
s2455,75,32000,12,26
s2456,54,1750,10,20
