show_id,rottentomatoes_audience_score,rottentomatoes_audience_#reviews,rottentomatoes_tomatometer_score,rottentomatoes_critics_#reviews
s2730,49,175,91,132
s2734,82,17500,82,17
s2735,83,175,50,6
s2737,,10,100,7
s2738,69,"['5,000+ Ratings']",,0
s2743,85,1750,26,242
s2744,21,750,,0
s2748,75,750,100,104
s2749,16,750,,0
s2757,62,250000,69,188
s2763,62,10,,0
s2767,74,1750,,0
s2768,32,1750,70,84
s2769,81,750,81,26
s2771,40,750,44,55
s2773,47,175,38,8
s2774,47,10,,0
s2776,24,750,52,29
s2777,53,10,,0
s2779,73,75,,0
s2782,35,10,,0
s2788,0,10,,0
s2791,50,75,,0
s2793,17,10,,0
s2794,53,7500,10,21
s2795,43,75,,0
s2796,51,1750,,0
s2797,50,175,89,9
s2799,35,32000,11,65
s2800,76,250000,29,65
s2802,86,750,,0
s2803,,10,50,6
s2804,,10,,0
s2808,49,17500,41,126
s2810,,10,,0
s2812,12,10,,0
s2813,48,750,70,57
s2815,89,175,60,5
s2816,,10,,0
s2817,75,"['5,000+ Ratings']",71,222
s2818,22,10,,0
s2820,22,10,,0
s2821,53,750,82,11
s2824,64,250000,39,119
s2827,54,175000,46,123
s2828,,10,,0
s2830,48,7500,62,119
s2832,41,75000,13,67
s2834,16,75,,0
s2835,71,10,60,5
s2837,26,75,,0
s2838,17,1750,17,18
s2839,78,10,,0
s2840,56,250000,49,142
s2841,61,"['5,000+ Ratings']",39,31
s2842,76,"['5,000+ Ratings']",11,9
s2843,87,750,95,21
s2848,63,17500,62,34
s2852,89,175000,92,189
s2854,82,17500,94,66
s2856,44,1750,53,80
s2858,78,75000,93,228
s2859,67,"['5,000+ Ratings']",100,7
s2860,89,"['5,000+ Ratings']",,0
s2863,73,7500,,0
s2864,44,750,,0
s2866,22,10,,0
s2867,91,17500,97,202
s2868,33,1750,,0
s2869,,10,,0
s2871,23,750,33,21
s2872,60,10,50,8
s2875,54,750,,0
s2876,36,10,,0
s2877,,10,,0
s2878,,10,,0
s2889,62,750,85,13
s2890,83,7500,96,54
s2891,77,175,91,11
s2892,83,75,100,5
s2893,74,10,80,5
s2896,37,7500,64,36
s2897,74,1750,91,74
s2898,72,175,80,5
s2899,70,750,83,53
s2901,83,17500,99,205
s2902,50,10,,0
s2903,24,1750,58,19
s2905,21,10,44,9
s2906,68,75,67,79
s2907,33,1750,11,9
s2908,81,750,96,54
s2909,76,7500,89,65
s2910,32,17500,17,113
s2911,,10,,0
s2913,44,7500,,0
s2916,84,750,96,82
s2917,62,10,63,8
s2919,66,750,82,11
s2920,85,"['5,000+ Ratings']",92,182
s2921,68,17500,93,92
s2922,35,"['5,000+ Ratings']",44,90
s2923,,10,,0
s2924,63,7500,11,19
s2925,60,10,71,7
s2926,91,75,97,39
s2928,48,1750,82,256
s2931,39,750,67,24
s2932,40,750,69,13
s2933,24,750,,0
s2935,88,175,100,5
s2936,48,7500,,0
s2940,95,175,100,5
s2945,59,10,,0
s2946,66,10,60,5
s2947,86,10,,0
s2948,36,75,,0
s2949,86,10,,0
s2950,40,75,20,10
s2954,40,750,56,9
s2958,82,750,92,12
s2960,51,7500,77,69
s2964,,10,,0
s2968,56,7500,23,82
s2970,73,750,89,9
s2974,34,10,,0
s2975,91,"['5,000+ Ratings']",95,113
s2977,88,75,,0
s2980,91,250000,87,359
s2981,,10,,0
s2982,3,10,,0
s2983,,10,,0
s2984,22,10,,0
s2985,,10,,0
s2989,90,750,79,14
s2991,53,250000,78,277
s2992,94,250000,88,72
s2993,96,250000,95,80
s2994,81,250000,84,69
s2996,88,"['5,000+ Ratings']",90,62
s2998,88,250000,89,332
s3006,,10,,0
s3007,45,175000,39,145
s3010,40,175,,0
s3013,37,75,,0
s3020,62,175000,66,177
s3027,38,75,,0
s3028,86,750,,0
s3032,43,"['5,000+ Ratings']",76,51
s3033,73,1750,92,49
s3035,89,175000,83,200
s3041,92,32000,,0
s3042,90,75,100,21
s3043,75,175000,76,246
s3045,,10,100,5
s3047,,10,31,26
s3048,93,32000,86,28
s3050,73,17500,76,51
s3051,95,750,84,32
s3052,94,1750,,0
s3060,31,175,29,7
s3061,59,175,32,19
s3064,,10,,0
s3067,62,750,,0
s3073,,10,,0
s3074,44,17500,87,252
s3075,75,10,,0
s3076,74,750,,0
s3080,,10,,0
s3085,,10,,0
s3086,,10,60,5
s3094,85,17500,,0
s3095,50,750,9,11
s3096,90,17500,,0
s3098,,10,,0
s3100,83,10,,0
s3101,20,10,,0
s3102,30,10,,0
s3104,85,175000,87,84
s3106,41,750,29,55
s3107,84,75000,73,66
s3108,77,175,,0
s3111,65,750,83,12
s3112,,10,0,5
s3113,51,175,,0
s3117,,10,,0
s3122,,10,,0
s3128,27,75,,0
s3129,62,75,,0
s3130,76,175,,0
s3131,75,250000,52,153
s3133,33,10,,0
s3136,77,10,,0
s3137,82,750,,0
s3139,,10,,0
s3142,,10,,0
s3143,50,10,,0
s3147,,10,,0
s3149,47,175,100,14
s3151,71,750,84,44
s3152,17,175,,0
s3154,75,750,95,19
s3155,52,175,75,16
s3157,87,750,,0
s3158,62,32000,51,221
s3159,69,75,,0
s3160,,10,,0
s3161,,10,,0
s3162,82,"['5,000+ Ratings']",95,21
s3167,,10,,0
s3168,,10,83,6
s3169,86,750,,0
s3170,100,10,,0
s3171,,10,100,5
s3174,60,10,,0
s3175,71,10,,0
s3176,,10,,0
s3177,85,750,,0
s3178,100,10,,0
s3179,,10,,0
s3180,53,75000,74,76
s3182,40,10,,0
s3183,72,750,89,73
s3186,29,1750,,0
s3187,91,32000,99,94
s3189,,10,,0
s3190,33,10,,0
s3191,,10,,0
s3193,80,175,89,35
s3196,78,17500,75,16
s3197,53,10,,0
s3199,88,175,,0
s3203,60,175000,52,237
s3206,77,175,100,7
s3209,89,175,100,20
s3210,100,10,,0
s3211,96,10,100,8
s3212,63,10,100,7
s3216,33,10,,0
s3222,63,17500,,0
s3223,85,175,93,14
s3226,,10,,0
s3230,,10,,0
s3231,87,10,,0
s3232,50,10,86,7
s3233,,10,,0
s3234,31,175,,0
s3235,32,750,33,12
s3236,41,17500,21,82
s3237,,10,,0
s3244,58,17500,58,85
s3245,73,32000,86,136
s3246,38,75000,27,270
s3248,82,75,,0
s3250,71,250000,42,109
s3252,60,75,,0
s3254,,10,67,9
s3257,65,75000,65,107
s3261,36,75,,0
s3263,52,32000,61,171
s3271,74,750,58,12
s3274,,10,,0
s3275,45,7500,,0
s3276,25,10,50,8
s3277,70,750,,0
s3281,68,17500,58,12
s3283,88,32000,100,8
s3284,79,175,23,13
s3286,88,1750,100,6
s3287,76,1750,66,73
s3288,81,1750,78,18
s3289,,10,,0
s3292,80,75,,0
s3293,85,75,,0
s3297,,10,,0
s3298,76,7500,,0
s3305,,10,,0
s3306,40,10,,0
s3307,89,10,,0
s3310,49,1750,80,5
s3318,94,175,,0
s3319,,10,,0
s3320,72,10,,0
s3322,88,7500,,0
s3323,62,10,80,5
s3326,90,1750,,0
s3327,20,750,,0
s3328,,10,,0
s3333,70,175,,0
s3338,,10,38,8
s3340,,10,,0
s3343,50,10,100,6
s3344,84,"['5,000+ Ratings']",71,7
s3345,72,32000,61,44
s3347,58,17500,76,59
s3348,30,175,,0
s3349,63,10,80,5
s3350,49,10,,0
s3351,84,1750,,0
s3354,80,750,,0
s3357,,10,,0
s3358,29,750,,0
s3360,90,7500,,0
s3363,45,750,,0
s3364,,10,,0
s3366,81,750,92,13
s3367,50,1750,41,34
s3368,43,75000,41,143
s3372,24,750,19,63
s3373,28,10,,0
s3376,81,250000,85,237
s3377,89,250000,84,242
s3378,45,1750,75,12
s3382,18,10,0,5
s3383,67,"['5,000+ Ratings']",62,53
s3384,,10,,0
s3385,76,10,100,5
s3388,59,32000,75,24
s3392,18,175,,0
s3393,44,175000,73,230
s3394,70,75,89,19
s3395,82,7500,100,29
s3397,72,750,94,35
s3399,,10,,0
s3400,32,"['5,000+ Ratings']",2,50
s3403,83,175,100,8
s3405,67,10,,0
s3406,65,750,,0
s3409,,10,0,6
s3411,37,7500,,0
s3414,62,75000,31,32
s3415,99,750,86,7
s3420,38,10,,0
s3421,96,1750,94,68
s3424,11,"['5,000+ Ratings']",99,103
s3425,25,750,,0
s3427,42,250000,34,184
s3430,40,10,,0
s3434,33,10,,0
s3436,,10,,0
s3438,77,750,,0
s3443,88,75,,0
s3444,74,7500,86,64
s3454,,10,,0
s3459,44,175,14,22
s3461,92,32000,,0
s3462,,10,0,6
s3465,89,175000,90,189
s3469,30,10,,0
s3472,42,1750,,0
s3477,65,10,,0
s3480,5,10,0,8
s3482,43,175,,0
s3483,50,1750,80,5
s3487,92,175,97,29
s3488,78,75000,91,43
s3501,96,175,88,8
s3513,79,17500,99,394
s3514,49,175,40,5
s3515,,10,,0
s3517,49,250000,25,212
s3518,69,75,85,13
s3522,93,17500,95,60
s3525,86,7500,,0
s3530,,10,,0
s3538,0,75,,0
s3540,,10,,0
s3541,33,10,,0
s3543,46,7500,16,31
s3544,100,10,,0
s3547,36,10,60,5
s3552,85,175000,80,142
s3553,79,75,100,10
s3558,57,75,,0
s3559,62,"['5,000+ Ratings']",42,62
s3567,78,75000,72,198
s3568,56,17500,16,45
s3570,73,175000,38,40
s3572,57,75,,0
s3575,69,750,,0
s3577,43,10,,0
s3588,37,175,,0
s3605,30,75,100,6
s3606,80,10,,0
s3608,63,1750,53,17
s3609,87,175,83,6
s3615,33,10,,0
s3616,66,175,89,9
s3617,50,10,,0
s3619,22,10,,0
s3624,31,"['5,000+ Ratings']",45,96
s3626,99,750,,0
s3630,72,10,100,5
s3635,58,75,87,23
s3636,72,750,,0
s3638,92,175,,0
s3640,84,32000,87,46
s3645,74,175000,69,202
s3648,43,175,,0
s3649,59,10,86,49
s3655,,10,,0
s3658,48,175,67,21
s3660,47,1750,92,12
s3665,88,10,,0
s3666,62,32000,44,9
s3667,55,250000,22,115
s3672,,10,,0
s3674,,10,,0
s3676,46,10,,0
s3682,73,10,50,8
s3687,34,750,40,15
s3689,68,"['5,000+ Ratings']",93,141
s3696,93,250000,75,65
s3697,72,32000,90,217
s3701,25,175,,0
s3702,30,750,20,5
s3704,51,175,86,7
s3705,67,32000,62,34
s3706,,10,,0
s3711,,10,,0
s3713,85,175,,0
s3714,92,75,88,8
s3717,41,1750,,0
s3728,75,10,,0
s3730,54,10,75,8
s3736,,10,,0
s3737,75,750,95,20
s3738,93,1750,,0
s3744,59,7500,,0
s3750,64,75,44,9
s3753,14,10,,0
s3755,58,750,,0
s3758,71,750,,0
s3759,,10,,0
s3763,64,10,22,9
s3764,97,32000,73,15
s3765,,10,,0
s3768,,10,,0
s3771,69,175,100,6
s3772,61,1750,,0
s3774,67,75,,0
s3777,68,10,,0
s3780,37,750,33,67
s3781,100,10,,0
s3786,36,175,56,25
s3787,63,"['5,000+ Ratings']",32,57
s3789,78,750,,0
s3793,69,75,78,18
s3794,,10,,0
s3795,77,"['5,000+ Ratings']",,0
s3798,78,175,,0
s3799,65,175,78,46
s3800,,10,,0
s3803,,10,,0
s3807,37,75,,0
s3809,67,"['5,000+ Ratings']",81,16
s3811,26,10,40,5
s3813,58,7500,,0
s3814,78,75,,0
s3817,57,75,31,13
s3827,63,750,100,10
s3828,60,750,,0
s3831,76,750,98,267
s3836,34,32000,29,125
s3837,,10,,0
s3838,70,175000,90,62
s3843,70,175,78,9
s3844,66,250000,64,157
s3847,,10,,0
s3859,67,10,,0
s3861,89,175000,83,147
s3862,43,750,,0
s3863,,10,,0
s3867,,10,,0
s3872,35,750,,0
s3875,42,750,,0
s3884,,10,38,8
s3885,80,75,44,9
s3887,27,75,,0
s3888,53,10,,0
s3891,15,10,,0
s3893,26,7500,8,12
s3896,50,17500,71,68
s3903,24,1750,51,85
s3905,58,175,,0
s3906,11,75,,0
s3909,,10,,0
s3911,61,1750,83,316
s3913,44,750,,0
s3914,68,175,67,33
s3917,53,7500,,0
s3918,56,750,93,15
s3919,,10,,0
s3920,,10,40,5
s3921,,10,,0
s3922,,10,,0
s3924,44,17500,61,159
s3928,,10,,0
s3931,68,10,80,5
s3937,91,10,,0
s3939,,10,100,14
s3949,,10,,0
s3955,69,750,39,57
s3956,75,10,,0
s3962,31,75,,0
s3965,15,75,,0
s3972,71,1750,89,90
s3973,62,750,88,8
s3974,65,"['5,000+ Ratings']",79,375
s3979,36,750,49,47
s3984,94,175,,0
s3985,66,75,,0
s3987,51,750,89,37
s3988,52,175,,0
s3989,33,10,,0
s3990,,10,,0
s3993,,10,,0
s3995,56,750,37,43
s3996,59,175,77,13
s3997,,10,,0
s3999,88,175,96,24
s4000,43,75,,0
s4002,,10,,0
s4007,56,750,78,46
s4008,30,"['5,000+ Ratings']",,0
s4009,84,75000,95,62
s4014,96,10,89,9
s4026,80,7500,100,11
s4027,77,175,,0
s4028,,10,,0
s4032,79,250000,92,90
s4033,45,250000,39,199
s4036,64,1750,96,118
s4037,33,10,,0
s4038,62,7500,,0
s4039,,10,92,13
s4040,27,750,,0
s4041,78,175,100,24
s4042,17,75,,0
s4043,24,75,45,11
s4045,,10,,0
s4051,,10,,0
s4052,64,75,,0
s4053,50,750,45,11
s4055,73,17500,79,68
s4059,,10,,0
s4061,81,175,39,18
s4062,,10,,0
s4063,72,75,86,7
s4067,67,1750,80,40
s4068,61,75,100,5
s4069,67,10,100,5
s4071,,10,,0
s4072,,10,,0
s4073,59,75,100,8
s4074,56,17500,40,53
s4075,58,"['5,000+ Ratings']",63,43
s4077,29,10,,0
s4091,,10,100,6
s4092,77,75,100,8
s4093,88,10,100,5
s4094,,10,,0
s4096,,10,,0
s4098,44,7500,23,190
s4099,,10,,0
s4100,82,175,92,59
s4101,24,750,,0
s4102,89,175000,93,245
s4108,11,10,,0
s4109,59,750,92,48
s4111,,10,81,16
s4112,77,175,90,20
s4117,52,750,,0
s4120,90,75000,81,165
s4121,89,750,,0
s4123,78,1750,82,11
s4124,80,750,90,84
s4125,,10,,0
s4126,28,175,,0
s4127,36,75,57,14
s4133,91,7500,91,93
s4136,69,175,93,58
s4141,11,10,,0
s4143,80,750,,0
s4145,88,750,91,53
s4146,67,750,91,23
s4147,84,75,50,14
s4148,85,175,,0
s4149,79,75,100,11
s4151,46,75,83,6
s4153,55,"['5,000+ Ratings']",91,119
s4154,70,750,83,18
s4155,100,10,,0
s4156,,10,,0
s4162,,10,80,5
s4164,,10,,0
s4165,47,750,36,14
s4169,84,17500,81,300
s4170,31,75,,0
s4173,60,175000,34,152
s4175,20,75,,0
s4178,71,32000,16,19
s4179,36,75,,0
s4185,21,175,10,21
s4187,80,175,,0
s4189,69,175,,0
s4190,82,750,,0
s4191,81,750,,0
s4192,,10,,0
s4194,84,750,,0
s4195,71,75,,0
s4196,83,750,,0
s4198,83,75,,0
s4199,81,750,,0
s4200,63,175000,75,163
s4201,23,1750,,0
s4203,55,250000,18,170
s4204,16,7500,17,35
s4208,95,250000,97,78
s4214,92,17500,,0
s4219,93,250000,95,66
s4222,89,175000,90,194
s4228,60,1750,87,85
s4230,77,175,,0
s4235,35,10,43,7
s4236,99,1750,100,5
s4237,100,10,,0
s4242,100,10,,0
s4243,58,10,,0
s4245,24,32000,4,89
s4248,51,1750,52,105
s4249,,10,,0
s4250,80,7500,24,33
s4251,59,250000,22,156
s4252,83,750,87,30
s4255,31,75,57,14
s4258,60,175,100,33
s4261,32,175000,14,112
s4263,53,75,17,12
s4265,55,750,38,8
s4267,57,75,,0
s4269,66,75,,0
s4270,80,75000,97,182
s4271,84,"['5,000+ Ratings']",97,199
s4272,38,750,,0
s4273,,10,,0
s4274,66,1750,,0
s4277,,10,,0
s4278,,10,,0
s4279,,10,,0
s4280,78,1750,,0
s4281,43,10,,0
s4282,,10,,0
s4283,81,175,80,5
s4284,58,75000,80,201
s4285,,10,,0
s4290,42,1750,44,68
s4291,57,7500,100,6
s4292,45,10,79,14
s4295,60,10,,0
s4297,68,10,,0
s4299,47,1750,21,86
s4300,,10,,0
s4301,84,"['5,000+ Ratings']",93,41
s4303,82,175,,0
s4306,75,175,,0
s4308,,10,13,8
s4315,55,750,85,71
s4319,50,75,,0
s4322,84,175,100,18
s4328,89,"['5,000+ Ratings']",99,137
s4331,,10,,0
s4333,61,75,,0
s4334,86,1750,,0
s4335,56,10,,0
s4336,100,10,,0
s4342,,10,,0
s4343,95,750,100,11
s4346,65,75,,0
s4352,39,750,,0
s4353,59,7500,89,80
s4356,68,750,,0
s4359,,10,,0
s4361,82,1750,57,7
s4363,25,175,,0
s4367,71,32000,83,186
s4373,54,32000,75,24
s4375,89,175000,88,206
s4380,,10,,0
s4381,27,75,22,9
s4382,64,10,,0
s4383,54,250000,40,166
s4393,,10,,0
s4394,60,75,,0
s4396,83,750,,0
s4397,80,"['5,000+ Ratings']",,0
s4398,,10,,0
s4400,38,750,,0
s4401,72,750,71,14
s4409,77,750,,0
s4411,79,17500,,0
s4412,76,"['5,000+ Ratings']",,0
s4413,85,32000,,0
s4414,15,10,,0
s4415,,10,,0
s4420,,10,,0
s4422,60,175,100,21
s4423,49,32000,23,35
s4424,51,750,100,5
s4425,76,250000,46,179
s4436,60,175,,0
s4440,,10,,0
s4441,82,10,100,7
s4442,,10,,0
s4444,,10,,0
s4447,,10,,0
s4451,83,10,,0
s4453,,10,60,5
s4454,47,75000,11,119
s4455,61,750,71,17
s4456,68,750,94,36
s4457,53,250000,28,131
s4459,67,750,80,5
s4461,,10,,0
s4463,60,10,100,8
s4464,78,750,98,49
s4465,71,7500,83,18
s4470,85,75000,95,273
s4474,52,175000,30,135
s4475,43,10,,0
s4478,54,175000,26,117
s4484,,10,,0
s4489,73,10,,0
s4492,67,"['5,000+ Ratings']",80,10
s4493,,10,,0
s4495,62,250000,42,162
s4499,17,10,100,6
s4500,75,175,81,16
s4501,33,75,67,6
s4502,43,750,91,34
s4504,73,32000,74,300
s4508,8,10,,0
s4509,22,75,,0
s4510,33,10,,0
s4511,67,750,86,43
s4515,,10,,0
s4516,83,10,80,5
s4517,69,1750,95,40
s4518,76,175,83,6
s4519,73,750,,0
s4520,,10,,0
s4527,,10,,0
s4536,,10,,0
s4542,23,750,0,11
s4543,82,75000,32,19
s4544,79,10,,0
s4545,74,32000,80,148
s4555,69,17500,76,202
s4556,55,"['5,000+ Ratings']",60,126
s4559,87,1750,84,55
s4560,72,17500,90,166
s4564,80,250000,83,178
s4565,75,250000,70,200
s4566,60,250000,55,185
s4578,42,10,50,6
s4580,30,175,33,12
s4586,,10,,0
s4589,55,1750,22,18
s4592,82,175,88,8
s4593,37,75,,0
s4594,91,175,,0
s4598,,10,,0
s4599,81,17500,86,236
s4600,85,10,100,15
s4601,88,175,97,29
s4608,66,175000,49,198
s4609,77,32000,76,17
s4611,,10,,0
s4613,84,75,,0
s4616,84,175,67,6
s4619,43,10,,0
s4621,39,175,,0
s4625,,10,,0
s4626,,10,,0
s4627,,10,,0
s4630,,10,,0
s4633,99,750,17,6
s4634,68,1750,,0
s4635,29,750,,0
s4636,95,75000,95,64
s4637,43,175,,0
s4638,11,10,,0
s4639,,10,42,19
s4642,,10,0,5
s4647,61,17500,11,9
s4650,48,75,,0
s4651,,10,,0
s4652,20,10,,0
s4657,,10,,0
s4660,31,175,40,20
s4661,37,32000,41,165
s4663,80,175,89,9
s4664,57,250000,48,101
s4665,90,7500,96,27
s4667,40,175,47,17
s4668,51,750,40,20
s4670,60,750,80,10
s4671,90,75,100,8
s4674,64,750,80,10
s4675,57,75,45,20
s4676,56,75,,0
s4679,43,75,67,6
s4681,88,17500,89,54
s4688,79,7500,85,60
s4689,54,175,23,26
s4690,61,750,,0
s4693,47,10,,0
s4694,,10,,0
s4695,51,32000,70,143
s4700,75,1750,88,42
s4702,,10,,0
s4704,45,10,,0
s4708,67,1750,61,148
s4711,60,1750,37,81
s4713,33,10,,0
s4715,,10,,0
s4721,80,250000,25,104
s4722,89,750,,0
s4734,90,750,78,18
s4736,87,750,88,43
s4742,93,17500,53,43
s4743,,10,,0
s4748,84,750,95,20
s4749,75,75,86,7
s4750,91,250000,95,238
s4754,63,175000,76,188
s4758,,10,,0
s4759,26,10,71,7
s4762,6,10,,0
s4763,,10,,0
s4765,23,10,60,5
s4768,57,250000,83,204
s4771,72,75000,89,185
s4774,72,7500,,0
s4776,72,75,46,13
s4777,88,7500,98,55
s4778,41,10,43,7
s4781,87,175,36,11
s4786,80,10,,0
s4787,38,75000,24,25
s4791,71,75,,0
s4793,58,175,37,35
s4795,72,75000,73,41
s4796,38,10,,0
s4797,63,175,100,13
s4799,,10,86,7
s4800,43,250000,34,117
s4804,76,750,50,6
s4805,14,10,,0
s4813,74,10,,0
s4814,72,7500,86,28
s4818,76,750,83,6
s4824,44,10,,0
s4825,67,10,,0
s4827,,10,,0
s4828,58,75,100,6
s4831,87,75,86,7
s4834,52,"['5,000+ Ratings']",80,266
s4835,58,750,40,10
s4836,75,750,100,30
s4838,8,10,,0
s4839,70,75,67,6
s4844,72,750,88,52
s4845,89,175000,80,56
s4846,56,1750,,0
s4847,67,1750,,0
s4849,58,750,,0
s4850,,10,,0
s4852,,10,0,5
s4853,91,750,97,66
s4854,15,10,,0
s4855,87,1750,76,206
s4856,43,750,73,99
s4858,73,75,67,9
s4862,73,250000,68,205
s4869,61,750,,0
s4870,96,10,,0
s4873,85,7500,77,22
s4875,40,250000,23,110
s4878,55,7500,,0
s4879,23,750,16,25
s4880,93,175000,88,68
s4882,57,1750,,0
s4884,50,10,,0
s4895,76,"['5,000+ Ratings']",91,79
s4902,,10,,0
s4906,,10,,0
s4909,74,750,82,77
s4916,43,250000,33,203
s4917,,10,,0
s4918,46,10,,0
s4920,31,75,50,16
s4921,30,75,33,6
s4923,66,175,0,6
s4926,80,10,,0
s4958,68,1750,,0
s4962,48,750,45,11
s4963,,10,,0
s4967,8,10,,0
s4969,,10,,0
s4971,56,175,71,21
s4976,80,175,95,42
s4977,81,175,,0
s4979,,10,,0
s4982,,10,,0
s4988,47,1750,61,172
s4990,38,250000,7,67
s4991,100,10,100,19
s4994,95,175000,96,103
s4995,58,750,80,10
s4999,36,750,33,24
s5001,56,1750,,0
s5002,,10,,0
s5003,96,250000,92,107
s5004,93,175,,0
s5007,20,10,,0
s5008,,10,,0
s5009,38,10,,0
s5010,,10,,0
s5011,85,"['5,000+ Ratings']",83,18
s5012,,10,,0
s5015,58,175,,0
s5016,55,175,20,10
s5017,72,1750,,0
s5019,43,10,,0
s5020,90,10,91,11
s5021,68,75,89,9
s5025,87,175,,0
s5029,58,250000,64,296
s5030,,10,,0
s5031,76,175000,96,198
s5033,34,1750,18,79
s5042,,10,,0
s5043,74,17500,59,17
s5044,84,175,82,33
s5047,61,750,,0
s5048,65,1750,22,9
s5049,74,10,100,7
s5052,,10,,0
s5053,11,75,,0
s5054,41,1750,0,5
s5055,44,250000,42,156
s5056,62,32000,84,202
s5058,61,750,,0
s5060,63,75,74,35
s5061,60,750,67,12
s5063,67,10,,0
s5064,93,175000,93,74
s5065,22,75,,0
s5066,16,175,,0
s5069,78,750,91,54
s5070,46,750,38,34
s5071,90,250000,89,80
s5074,48,75,67,15
s5076,26,10,,0
s5077,83,"['5,000+ Ratings']",96,110
s5078,51,1750,,0
s5079,64,75,,0
s5081,,10,60,5
s5084,,10,,0
s5088,65,10,,0
s5089,45,750,,0
s5090,43,75,,0
s5091,75,175,86,14
s5093,77,10,88,41
s5095,17,75,,0
s5096,62,175,62,13
s5098,94,17500,86,7
s5099,69,175000,88,222
s5100,64,175,55,11
s5101,80,10,,0
s5105,25,750,0,6
s5106,17,175,28,18
s5107,78,17500,48,62
s5108,,10,57,7
s5115,46,10,44,9
s5119,73,175000,60,233
s5122,40,750,39,216
s5123,88,75000,92,52
s5126,77,175,,0
s5128,29,10,,0
s5132,80,175,100,11
s5134,18,175,48,21
s5135,65,32000,46,24
s5137,,10,56,9
s5139,83,7500,,0
s5141,38,750,,0
s5148,41,750,28,29
s5153,86,10,100,5
s5155,86,10,,0
s5156,67,10,,0
s5158,,10,,0
s5160,42,750,25,20
s5167,48,175000,22,106
s5168,93,10,,0
s5171,71,750,100,17
s5172,36,7500,84,95
s5173,64,10,,0
s5175,85,75,100,13
s5181,31,1750,15,26
s5182,,10,,0
s5183,50,75,40,5
s5184,63,75,88,8
s5189,71,175000,67,214
s5190,47,10,86,7
s5200,38,175,67,12
s5201,93,"['5,000+ Ratings']",92,12
s5203,,10,47,15
s5204,77,10,68,37
s5208,37,75000,18,147
s5210,48,750,23,13
s5218,0,10,,0
s5221,50,10,33,9
s5222,98,75,90,20
s5224,,10,,0
s5226,76,"['5,000+ Ratings']",87,39
s5228,85,"['5,000+ Ratings']",84,93
s5230,100,10,,0
s5231,86,10,,0
s5232,,10,,0
s5233,23,1750,,0
s5234,,10,,0
s5236,24,10,,0
s5242,56,10,,0
s5244,67,750,92,24
s5246,53,175,0,11
s5247,82,250000,71,31
s5248,74,250000,63,38
s5249,79,250000,40,48
s5250,31,250000,31,36
s5251,,10,,0
s5252,56,75,100,9
s5253,33,750,88,8
s5254,32,75,,0
s5255,,10,,0
s5256,14,10,,0
s5258,76,10,100,28
s5261,,10,92,91
s5262,72,"['5,000+ Ratings']",95,392
s5264,,10,67,6
s5266,44,10,,0
s5268,80,10,15,13
s5269,100,10,,0
s5270,0,10,,0
s5271,,10,,0
s5272,70,175,,0
s5273,82,75,,0
s5277,53,175,88,8
s5278,81,175,,0
s5280,,10,,0
s5285,76,75,78,9
s5286,87,75000,96,73
s5290,55,7500,50,12
s5291,62,175,70,30
s5294,89,10,,0
s5297,,10,100,6
s5299,65,75000,80,55
s5300,41,250000,19,113
s5301,76,750,91,119
s5303,53,250000,46,87
s5304,72,175,,0
s5306,90,"['5,000+ Ratings']",,0
s5309,94,1750,90,10
s5310,,10,,0
s5311,70,10,,0
s5312,37,175,,0
s5314,,10,,0
s5315,,10,,0
s5317,62,750,84,44
s5319,57,750,45,11
s5321,69,10,80,5
s5322,8,10,,0
s5323,52,250000,48,168
s5326,55,750,8,12
s5331,39,75,,0
s5333,51,175,76,21
s5334,82,10,,0
s5335,78,10,,0
s5336,35,10,40,5
s5337,95,750,,0
s5341,80,32000,91,150
s5344,44,10,100,5
s5347,83,75,100,5
s5351,,10,,0
s5357,,10,83,6
s5359,,10,,0
s5365,86,7500,40,10
s5368,64,175,93,14
s5369,40,1750,,0
s5374,,10,,0
s5375,80,750,93,43
s5376,39,750,27,22
s5377,78,750,,0
s5378,78,750,40,15
s5380,,10,,0
s5382,25,175,,0
s5383,,10,,0
s5385,39,175,80,10
s5386,0,10,,0
s5388,61,75,,0
s5389,36,75,63,19
s5390,49,75,100,10
s5391,82,"['5,000+ Ratings']",72,117
s5395,,10,,0
s5396,81,750,,0
s5400,62,75,,0
s5401,,10,,0
s5404,,10,,0
s5406,82,175,,0
s5408,75,175,93,29
s5411,42,175,69,13
s5416,65,175,100,5
s5417,84,175000,79,265
s5419,,10,,0
s5423,44,175,,0
s5429,43,250000,53,116
s5430,38,175000,4,52
s5431,97,250000,97,100
s5433,79,"['5,000+ Ratings']",56,27
s5434,81,175,93,46
s5435,60,10,,0
s5438,78,32000,88,8
s5441,84,175000,82,272
s5443,57,250000,81,79
s5444,37,250000,40,124
s5445,94,75,94,32
s5446,34,10,,0
s5449,31,1750,10,20
s5450,86,17500,100,44
s5451,92,17500,95,131
s5454,,10,,0
s5461,93,32000,89,140
s5462,,10,,0
s5465,86,750,91,11
s5467,73,10,,0
s5476,81,75,,0
s5480,,10,,0
s5482,38,750,95,40
s5483,76,175,100,15
s5489,,10,,0
s5491,80,10,100,5
s5492,32,10,,0
s5493,95,17500,93,122
s5496,84,175,75,16
s5497,45,750,31,13
s5501,,10,,0
s5502,24,10,67,6
